order_id,order_date,customer_id,return_flag,order_amount
ORD0001,2024-07-05,CUST001,true,120.5
ORD0002,2024-07-10,CUST002,false,75
ORD0003,2024-08-15,CUST001,true,90
ORD0004,2024/09/01,CUST003,false,45
ORD0005,2024-10-20,CUST004,true,200
ORD0006,2024-11-11,CUST002,true,
ORD0007,2024-11-15,CUST005,false,60
ORD0008,2024-12-05,CUST006,true,150
ORD0009,2024-12-25,CUST007,false,85
ORD0010,2025-01-10,CUST001,true,130
ORD0011,2025-01-15,CUST008,false,50
ORD0012,2025-02-10,CUST009,true,110
ORD0013,2025-02-14,CUST010,false,100
ORD0014,2025-03-03,CUST005,true,77.5
ORD0015,,CUST002,false,65
ORD0016,2025-03-20,CUST003,true,180
ORD0017,2025-04-01,CUST004,false,95
ORD0018,2025-04-15,CUST006,true,210
ORD0019,2025-05-05,CUST007,true,55
ORD0020,2025-05-20,CUST008,false,145
ORD0021,2025-06-01,CUST009,true,85
ORD0022,2025-06-10,CUST010,false,190
ORD0023,2024-07-20,CUST001,true,130.5
ORD0024,2024-08-05,CUST002,false,60
ORD0025,2024-09-10,CUST003,true,300
ORD0026,2024-10-30,CUST004,false,
ORD0027,2024-11-20,CUST005,true,40
ORD0028,2024-12-15,CUST006,false,65
ORD0029,2025-01-05,CUST007,true,115
ORD0030,2025-01-25,CUST008,false,68
ORD0031,2025-02-20,CUST009,true,99.9
ORD0032,2025-03-10,CUST010,false,47
ORD0033,2025-03-15,CUST001,true,130
ORD0034,2025-04-05,CUST002,false,80
ORD0035,2025-04-20,CUST003,true,220
ORD0036,2025-05-15,CUST004,false,90
ORD0037,2025-06-05,CUST005,true,55.5
ORD0038,2024-07-25,CUST006,false,105
ORD0039,2024-08-15,CUST007,true,
ORD0040,2024-09-05,CUST008,false,78
ORD0041,2024-10-10,CUST009,true,165
ORD0042,2024-11-30,CUST010,false,88
ORD0043,2025-06-25,CUST001,true,250
ORD0044,2025-06-28,CUST002,false,47.7
ORD0045,2025-06-30,CUST003,true,99
ORD0046,2024-07-07,CUST004,false,115
ORD0047,2024-08-09,CUST005,true,152
ORD0048,2024-09-11,CUST006,false,67
ORD0049,2024-10-12,CUST007,true,190
ORD0050,2024-11-13,CUST008,false,82
ORD0051,2024-12-01,CUST009,true,140
ORD0052,2024-12-15,CUST010,false,77
ORD0052,2024-12-15,CUST010,false,77
ORD0053,2025-01-20,CUST001,true,134
ORD0054,2025-02-25,CUST002,false,95
ORD0055,2025-03-25,CUST003,true,202
ORD0056,2025-04-25,CUST004,false,
ORD0057,2025-05-30,CUST005,true,65
ORD0058,2025-06-12,CUST006,false,88.8
ORD0059,2025-06-18,CUST007,true,320
