user_id,story_date,story_count
user_001,2024-07-03,3
user_001,2024-07-03,3
user_001,2024-08-15,5
user_001,2024-09-10,0
user_001,2024-10-05,20
user_001,07/15/2024,2
user_002,2024-07-03,4
user_002,2024-07-04,3
user_002,,6
user_002,2024-12-25,1
user_002,2025-01-15,7
user_002,2025-06-29,10
user_003,2024-07-10,2
user_003,2024-08-20,8
user_003,2024-08-20,8
user_003,2025-03-11,5
,2025-03-12,3
USER_003,2025-04-01,4
user_004,2024-07-15,6
user_004,2024-09-30,7
user_004,2024/10/10,4
user_004,2024-11-11,3
user_004,2025-02-28,12
user_004,2025-03-01,0
user_005,2024-08-01,1
user_005,2024-08-02,2
user_005,2024-08-03,3
user_005,2024-08-04,4
user_005,2024-08-05,
user_005,2024-08-06,5
user_006,2024-09-01,9
user_006,2024-09-02,10
user_006,2024-09-03,9
user_006,2024-09-04,50
user_006,2024-09-05,8
user_006,,7
user_007,2024-10-10,4
user_007,2024-10-11,4
user_007,2024-10-12,4
user_007,2024-10-13,3
user_007,2024-10-14,2
user_007,2024-10-15,1
user_008,2025-01-01,11
user_008,2025-01-02,12
user_008,2025-01-03,13
user_008,2025-01-04,14
user_008,2025-01-05,15
user_008,2025-01-06,0
user_009,2024-12-01,1
user_009,2024-12-02,2
user_009,2024-12-03,3
user_009,2024-12-04,4
user_009,2024-12-05,5
user_009,invalid_date,6
user_010,2025-03-15,7
user_010,2025-03-16,8
user_010,2025-03-17,9
user_010,2025-03-18,10
user_010,2025-03-19,11
user_010,2025-03-20,12
